index	prediction
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	2
24	2
25	1
26	1
27	0
28	0
29	2
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	1
42	1
43	0
44	2
45	0
46	0
47	2
48	2
49	0
50	2
51	0
52	0
53	0
54	0
55	1
56	0
57	0
58	1
59	0
60	2
61	0
62	0
63	0
64	0
65	0
66	1
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	2
78	0
79	0
80	2
81	2
82	2
83	0
84	2
85	0
86	2
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	2
96	0
97	0
98	0
99	1
100	0
101	2
102	0
103	0
104	0
105	0
106	2
107	0
108	2
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	1
118	0
119	2
120	0
121	2
122	1
123	0
124	2
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	2
138	0
139	0
140	0
141	2
142	0
143	0
144	0
145	1
146	0
147	1
148	0
149	0
150	2
151	0
152	0
153	0
154	1
155	1
156	0
157	0
158	0
159	0
160	0
161	1
162	0
163	0
164	2
165	0
166	0
167	0
168	1
169	0
170	0
171	2
172	0
173	2
174	0
175	1
176	0
177	0
178	0
179	2
180	2
181	0
182	0
183	0
184	0
185	0
186	2
187	2
188	0
189	1
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	1
201	0
202	0
203	0
204	0
205	1
206	0
207	2
208	2
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	2
219	0
220	0
221	2
222	2
223	0
224	1
225	2
226	0
227	1
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	2
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	2
250	1
251	0
252	2
253	0
254	0
255	0
256	0
257	0
258	1
259	0
260	0
261	0
262	2
263	0
264	2
265	0
266	0
267	2
268	0
269	0
270	2
271	2
272	2
273	0
274	1
275	2
276	0
277	0
278	0
279	0
